,Id_joueur,Strategy,Max_Score,History
0,1,Dumb,33,"[4, 5, 6, 8, 9, 11, 12, 12, 14, 16, 15, 14, 16, 19, 21, 23, 25, 29, 31, 31, 36, 36, 37, 35, 34, 31, 32, 33]"
1,2,Dumb,28,"[3, 4, 6, 5, 6, 6, 8, 9, 9, 11, 16, 15, 15, 14, 14, 15, 14, 15, 14, 14, 12, 13, 19, 20, 26, 26, 28]"
2,1,Dumb,28,"[4, 5, 6, 7, 8, 11, 11, 12, 15, 16, 17, 17, 16, 18, 18, 16, 17, 18, 20, 20, 22, 22, 28, 28, 27, 29, 27, 25, 26, 28]"
3,2,Dumb,40,"[3, 4, 5, 7, 7, 7, 8, 9, 8, 9, 12, 15, 15, 16, 21, 22, 22, 27, 25, 25, 26, 28, 24, 27, 30, 31, 35, 39, 42, 40]"
4,1,Dumb,28,"[4, 5, 6, 9, 10, 11, 13, 14, 13, 15, 17, 18, 19, 20, 21, 20, 22, 24, 23, 24, 19, 20, 20, 20, 22, 24, 25, 24, 24, 28]"
5,2,Dumb,37,"[3, 4, 5, 4, 5, 6, 6, 9, 14, 10, 10, 11, 12, 15, 16, 17, 17, 19, 21, 27, 30, 30, 34, 33, 33, 36, 37, 39, 40, 37]"
6,1,Dumb,33,"[4, 6, 7, 9, 10, 11, 12, 14, 15, 15, 16, 20, 21, 21, 22, 21, 20, 20, 22, 23, 25, 26, 30, 31, 29, 29, 32, 31, 29, 33]"
7,2,Dumb,32,"[3, 3, 4, 4, 5, 6, 7, 7, 9, 10, 11, 9, 12, 12, 18, 18, 20, 22, 21, 22, 26, 24, 23, 27, 30, 28, 33, 33, 36, 32]"
8,1,Dumb,32,"[4, 5, 7, 9, 10, 13, 14, 15, 16, 17, 14, 14, 14, 17, 17, 19, 21, 19, 17, 15, 25, 26, 31, 32, 31, 31, 33, 29, 32, 32]"
9,2,Dumb,33,"[3, 4, 4, 5, 5, 4, 5, 6, 7, 12, 14, 16, 19, 17, 18, 18, 21, 25, 29, 30, 22, 23, 20, 23, 25, 31, 32, 34, 40, 33]"
10,1,Dumb,38,"[4, 5, 7, 8, 9, 10, 10, 11, 12, 13, 14, 14, 14, 15, 17, 19, 21, 22, 18, 22, 24, 28, 25, 27, 23, 26, 29, 30, 33, 38]"
11,2,Dumb,29,"[3, 4, 4, 5, 6, 9, 9, 12, 11, 12, 14, 16, 17, 18, 18, 18, 18, 25, 26, 25, 23, 25, 27, 31, 32, 31, 35, 33, 32, 29]"
12,1,Dumb,39,"[4, 6, 7, 8, 9, 9, 12, 12, 12, 12, 12, 13, 14, 14, 10, 9, 10, 15, 17, 19, 21, 25, 26, 27, 23, 24, 30, 32, 42, 39]"
13,2,Dumb,26,"[3, 3, 4, 5, 7, 8, 8, 10, 13, 15, 16, 16, 18, 24, 27, 28, 29, 26, 28, 27, 28, 27, 26, 32, 33, 33, 33, 30, 25, 26]"
14,1,Dumb,38,"[4, 5, 6, 8, 10, 10, 10, 10, 11, 12, 12, 16, 14, 15, 16, 17, 20, 24, 25, 25, 24, 23, 22, 20, 24, 22, 24, 31, 36, 38]"
15,2,Dumb,34,"[3, 4, 6, 5, 7, 8, 10, 11, 12, 15, 16, 16, 18, 18, 21, 21, 19, 17, 22, 23, 26, 30, 33, 33, 34, 36, 35, 30, 30, 34]"
16,1,Dumb,44,"[4, 5, 6, 7, 8, 9, 10, 10, 10, 12, 13, 13, 14, 13, 15, 19, 20, 20, 24, 26, 22, 23, 26, 27, 29, 35, 40, 38, 43, 44]"
17,2,Dumb,26,"[3, 4, 5, 6, 8, 8, 11, 12, 13, 13, 15, 16, 19, 20, 20, 19, 22, 21, 19, 24, 25, 26, 25, 28, 26, 23, 22, 23, 24, 26]"
18,1,Dumb,25,"[4, 5, 5, 5, 7, 7, 8, 10, 12, 13, 14, 15, 15, 16, 17, 16, 17, 20, 22, 20, 28, 27, 30, 27, 29, 31, 27, 22, 20, 25]"
19,2,Dumb,40,"[3, 5, 7, 8, 9, 10, 11, 11, 13, 12, 14, 17, 16, 17, 20, 21, 22, 21, 25, 25, 21, 24, 25, 29, 26, 34, 39, 43, 43, 40]"
20,1,Dumb,37,"[4, 5, 5, 6, 6, 7, 7, 8, 10, 12, 15, 15, 14, 16, 19, 20, 20, 25, 24, 24, 24, 23, 24, 22, 19, 21, 26, 26, 31, 37]"
21,2,Dumb,32,"[3, 5, 7, 8, 9, 11, 12, 13, 15, 13, 15, 18, 17, 18, 18, 18, 19, 19, 20, 23, 26, 27, 30, 36, 37, 37, 34, 36, 32]"
22,1,Dumb,25,"[4, 5, 6, 7, 8, 9, 9, 10, 10, 12, 14, 12, 12, 15, 18, 16, 18, 18, 20, 21, 20, 26, 24, 23, 26, 24, 25, 25, 25]"
23,2,Dumb,39,"[3, 4, 5, 6, 7, 9, 10, 12, 13, 13, 16, 19, 19, 19, 20, 21, 23, 23, 23, 26, 28, 26, 30, 30, 33, 34, 36, 39, 39]"
