,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,3,40,"[4, 5, 7, 7, 10, 12, 14, 15, 14, 15, 18, 17, 21, 23, 24, 27, 26, 27, 31, 35, 36, 34, 34, 36, 35, 36, 37, 38, 43, 40]"
1,2,Dumb,1,25,"[3, 5, 5, 6, 6, 7, 7, 8, 10, 13, 11, 12, 13, 12, 12, 13, 17, 15, 12, 12, 15, 20, 20, 20, 21, 23, 22, 23, 25, 25]"
2,1,Exploration,3,39,"[4, 5, 7, 8, 9, 10, 13, 13, 16, 17, 16, 20, 22, 22, 22, 22, 24, 26, 27, 28, 31, 31, 32, 29, 37, 42, 42, 44, 41, 39]"
3,2,Dumb,1,29,"[3, 5, 5, 5, 6, 7, 7, 8, 8, 11, 11, 10, 10, 15, 15, 16, 16, 16, 17, 18, 19, 18, 24, 25, 20, 19, 18, 21, 29]"
4,1,Exploration,3,39,"[4, 5, 5, 6, 7, 8, 11, 10, 13, 16, 19, 21, 22, 25, 29, 30, 30, 30, 34, 37, 37, 38, 39]"
5,2,Dumb,1,12,"[3, 5, 6, 7, 8, 9, 11, 12, 10, 9, 8, 9, 9, 8, 7, 8, 11, 11, 11, 10, 13, 11, 12]"
6,1,Exploration,3,40,"[4, 5, 5, 8, 7, 7, 10, 13, 12, 12, 11, 15, 17, 18, 21, 24, 26, 28, 31, 35, 36, 38, 38, 40, 42, 43, 43, 41, 42, 40]"
7,2,Dumb,1,33,"[3, 5, 6, 7, 10, 11, 10, 12, 13, 16, 16, 14, 15, 15, 14, 15, 15, 13, 12, 11, 11, 16, 13, 14, 16, 18, 21, 20, 27, 33]"
8,1,Exploration,3,47,"[4, 5, 6, 7, 8, 8, 11, 15, 15, 15, 18, 19, 19, 25, 28, 28, 29, 34, 33, 31, 34, 36, 38, 35, 35, 35, 42, 45, 45, 47]"
9,2,Dumb,1,22,"[3, 4, 5, 6, 9, 10, 9, 9, 9, 10, 12, 13, 12, 9, 8, 13, 11, 11, 13, 14, 14, 15, 17, 23, 22, 25, 18, 17, 22]"
10,1,Exploration,3,20,"[4, 5, 5, 6, 10, 10, 13, 15, 17, 19, 19, 20, 25, 29, 27, 28, 28, 30, 29, 34, 30, 30, 30, 27, 24, 23, 20, 21, 23, 20]"
11,2,Dumb,1,45,"[3, 5, 7, 7, 6, 8, 7, 6, 6, 8, 8, 9, 6, 7, 9, 12, 12, 16, 14, 16, 20, 21, 26, 34, 34, 40, 39, 41, 45, 45]"
12,1,Exploration,3,41,"[4, 5, 5, 8, 9, 10, 14, 13, 14, 17, 20, 18, 18, 19, 22, 24, 23, 26, 26, 27, 29, 32, 35, 36, 41, 41, 40, 43, 41]"
13,2,Dumb,1,26,"[3, 5, 6, 5, 7, 7, 7, 11, 10, 8, 11, 14, 13, 15, 14, 15, 16, 18, 18, 19, 18, 20, 18, 17, 20, 18, 19, 21, 26]"
14,1,Exploration,3,34,"[4, 5, 5, 6, 9, 10, 13, 13, 14, 15, 16, 18, 21, 20, 23, 25, 29, 31, 29, 34, 33, 32, 33, 35, 35, 36, 32, 33, 34, 34]"
15,2,Dumb,1,36,"[3, 5, 7, 8, 6, 7, 8, 8, 11, 11, 12, 12, 13, 14, 13, 12, 12, 14, 15, 14, 17, 19, 18, 19, 21, 26, 30, 28, 31, 36]"
16,1,Exploration,3,37,"[4, 5, 7, 8, 8, 11, 12, 14, 15, 18, 17, 16, 18, 20, 18, 21, 23, 22, 20, 23, 28, 32, 33, 38, 38, 37, 38, 36, 34, 37]"
17,2,Dumb,1,31,"[3, 5, 4, 7, 7, 6, 7, 9, 8, 9, 13, 14, 13, 16, 19, 18, 19, 24, 23, 22, 19, 20, 20, 17, 20, 21, 28, 30, 31]"
18,1,Exploration,3,47,"[4, 5, 6, 8, 10, 13, 13, 15, 18, 21, 24, 25, 23, 26, 27, 30, 34, 33, 36, 36, 39, 40, 41, 41, 43, 44, 45, 46, 44, 47]"
19,2,Dumb,1,20,"[3, 4, 5, 5, 5, 5, 7, 6, 6, 6, 3, 7, 9, 8, 8, 7, 7, 9, 8, 11, 8, 11, 12, 13, 14, 16, 17, 19, 20]"
