,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,5,29.0,"[0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 11.0, 3.0, 7.0, 13.0, 9.0, 9.0, 9.0, 5.0, 7.0, 13.0, 15.0, 27.0, 29.0, 29.0, 29.0, 27.0, 29.0]"
1,2,Dumb,1,-24.0,"[0, -0.0, 2.0, 2.0, 2.0, 6.0, 4.0, 2.0, 6.0, 2.0, 2.0, 4.0, 10.0, 2.0, -0.0, -0.0, -2.0, -0.0, -2.0, -4.0, 4.0, 2.0, -2.0, -6.0, -8.0, -20.0, -26.0, -26.0, -24.0, -20.0, -24.0]"
2,1,Exploration,5,15.0,"[0, 3.0, 3.0, 1.0, -1.0, 1.0, -1.0, 1.0, 3.0, 5.0, 11.0, 13.0, 13.0, 9.0, 11.0, 13.0, 15.0, 13.0, 15.0, 15.0, 17.0, 11.0, 17.0, 15.0, 15.0, 11.0, 13.0, 13.0, 19.0, 13.0, 15.0]"
3,2,Dumb,1,-8.0,"[0, -0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0, 2.0, -2.0, -6.0, -10.0, -4.0, -2.0, -2.0, -6.0, -6.0, -10.0, -6.0, -10.0, -4.0, -6.0, -8.0, -12.0, -6.0, -8.0, -8.0, -4.0, -10.0, -10.0, -8.0]"
4,1,Exploration,5,13.0,"[0, 3.0, 3.0, 3.0, 1.0, 1.0, -1.0, -1.0, 3.0, 5.0, 5.0, 7.0, 5.0, 3.0, 3.0, 7.0, 7.0, 7.0, 13.0, 13.0, 13.0, 7.0, 9.0, 19.0, 19.0, 19.0, 23.0, 21.0, 29.0, 15.0, 13.0]"
5,2,Dumb,1,-6.0,"[0, -0.0, -0.0, 2.0, 4.0, 8.0, 4.0, 4.0, -0.0, -0.0, -2.0, -2.0, 4.0, 6.0, 2.0, -4.0, -4.0, -2.0, -6.0, -8.0, 2.0, -4.0, -2.0, -12.0, -8.0, -16.0, -18.0, -14.0, -12.0, -6.0]"
6,1,Exploration,5,3.0,"[0, 3.0, 3.0, 3.0, 3.0, 1.0, -1.0, -1.0, 3.0, 7.0, 1.0, -1.0, 5.0, 9.0, 11.0, 9.0, 15.0, 9.0, 9.0, 7.0, 13.0, 13.0, 15.0, 15.0, 11.0, 13.0, 15.0, 9.0, 5.0, 3.0]"
7,2,Dumb,1,4.0,"[0, -0.0, -0.0, -0.0, 2.0, 4.0, 6.0, 6.0, -0.0, 4.0, 6.0, 4.0, -2.0, -6.0, -2.0, -4.0, -4.0, -2.0, -4.0, -4.0, -10.0, -10.0, -12.0, -2.0, -6.0, -10.0, -4.0, -0.0, 2.0, 4.0]"
8,1,Exploration,5,-13.0,"[0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 9.0, 11.0, 3.0, 5.0, 15.0, 13.0, 17.0, 19.0, 23.0, 23.0, 19.0, 7.0, 7.0, 13.0, 1.0, 5.0, -7.0, -13.0]"
9,2,Dumb,1,24.0,"[0, -0.0, -0.0, -0.0, 2.0, 4.0, 4.0, 4.0, 2.0, -0.0, 6.0, 8.0, 4.0, -6.0, -0.0, 2.0, -2.0, -8.0, -10.0, -12.0, -12.0, -20.0, -14.0, -4.0, -0.0, 2.0, 4.0, 2.0, 12.0, 20.0, 24.0]"
10,1,Exploration,5,-9.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 5.0, 5.0, 9.0, 5.0, 5.0, 5.0, 7.0, 5.0, 7.0, 11.0, 9.0, 13.0, 15.0, 19.0, 13.0, 13.0, 13.0, 11.0, 5.0, 5.0, 5.0, 3.0, -9.0]"
11,2,Dumb,1,20.0,"[0, -0.0, -0.0, -0.0, 2.0, 2.0, 6.0, 4.0, -0.0, -2.0, -2.0, 4.0, -0.0, -0.0, -0.0, -0.0, -0.0, -4.0, -0.0, -10.0, -12.0, -10.0, -8.0, -8.0, 4.0, 2.0, 6.0, -2.0, -0.0, 12.0, 20.0]"
