,func,ncalls,ccalls,tottime,cumtime,callers
28,"<code object Spatial_score at 0x0000011A264DA2F0, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 30>",19543,0,139.63560040000002,139.63560040000002,
25,"<code object Count_score at 0x0000011A264D6660, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 60>",23678,0,36.926405100000004,36.926405100000004,
23,"<code object Check_for_permut at 0x0000011A264D6450, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 15>",1043487,0,15.204390900000002,14.897518900000001,"[_lsprof.profiler_subentry(code=<code object Retournement_valeur at 0x0000011A24BA2C90, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 1>, callcount=1316907, reccallcount=0, totaltime=0.18308480000000002, inlinetime=0.18308480000000002), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=1052646, reccallcount=0, totaltime=0.0947434, inlinetime=0.0947434), _lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=264261, reccallcount=0, totaltime=0.0290438, inlinetime=0.0290438)]"
26,"<code object Get_all_permutationAble_squares at 0x0000011A264D6710, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 67>",23696,0,17.668296400000003,1.9371263,"[_lsprof.profiler_subentry(code=<code object where at 0x0000011A242DE7C0, file ""<__array_function__ internals>"", line 2>, callcount=23696, reccallcount=0, totaltime=0.3169429, inlinetime=0.0487582), _lsprof.profiler_subentry(code=<code object verify_move at 0x0000011A264D63A0, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 8>, callcount=1019809, reccallcount=0, totaltime=15.1770349, inlinetime=0.5658270000000001), _lsprof.profiler_subentry(code=<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>, callcount=1019809, reccallcount=0, totaltime=0.22430670000000003, inlinetime=0.22430670000000003), _lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=110687, reccallcount=0, totaltime=0.0128856, inlinetime=0.0128856)]"
29,"<code object Explore_moves at 0x0000011A264DA450, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 84>",23678,23660,196.87028980000002,0.6975805,"[_lsprof.profiler_subentry(code=<code object Get_all_permutationAble_squares at 0x0000011A264D6710, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 67>, callcount=23678, reccallcount=0, totaltime=17.652182200000002, inlinetime=1.9355978), _lsprof.profiler_subentry(code=<code object Explore_moves at 0x0000011A264DA450, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 84>, callcount=23660, reccallcount=23569, totaltime=196.771434, inlinetime=0.6960542000000001), _lsprof.profiler_subentry(code=<code object verify_move at 0x0000011A264D63A0, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 8>, callcount=23660, reccallcount=0, totaltime=0.7135676000000001, inlinetime=0.0334389), _lsprof.profiler_subentry(code=<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>, callcount=23660, reccallcount=0, totaltime=0.005340800000000001, inlinetime=0.005340800000000001), _lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=47320, reccallcount=0, totaltime=0.030279200000000003, inlinetime=0.030279200000000003), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=7928, reccallcount=0, totaltime=0.0019795, inlinetime=0.0019795), _lsprof.profiler_subentry(code=""<method 'min' of 'numpy.ndarray' objects>"", callcount=3431, reccallcount=0, totaltime=0.0919147, inlinetime=0.010552200000000001), _lsprof.profiler_subentry(code=""<method 'choice' of 'numpy.random.mtrand.RandomState' objects>"", callcount=3964, reccallcount=0, totaltime=0.22322380000000003, inlinetime=0.1184177), _lsprof.profiler_subentry(code=""<method 'max' of 'numpy.ndarray' objects>"", callcount=533, reccallcount=0, totaltime=0.004138500000000001, inlinetime=0.0006850000000000001), _lsprof.profiler_subentry(code=<code object Spatial_score at 0x0000011A264DA2F0, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 30>, callcount=19543, reccallcount=0, totaltime=139.63560040000002, inlinetime=139.63560040000002), _lsprof.profiler_subentry(code=<code object place_pawn at 0x0000011A224EBF50, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 14>, callcount=23660, reccallcount=0, totaltime=0.1685209, inlinetime=0.1284221), _lsprof.profiler_subentry(code=<code object Inverts_pawns at 0x0000011A264D6500, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 44>, callcount=47320, reccallcount=0, totaltime=0.2075004, inlinetime=0.1332072), _lsprof.profiler_subentry(code=<code object Count_score at 0x0000011A264D6660, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 60>, callcount=23660, reccallcount=0, totaltime=36.9145619, inlinetime=36.9145619), _lsprof.profiler_subentry(code=<code object Convert_coord_to_string at 0x0000011A24BA2EA0, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 12>, callcount=23660, reccallcount=0, totaltime=0.1814272, inlinetime=0.1814272), _lsprof.profiler_subentry(code=<code object Score at 0x0000011A264DA240, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 26>, callcount=171, reccallcount=0, totaltime=7.72e-05, inlinetime=7.72e-05), _lsprof.profiler_subentry(code=<code object Undo_move at 0x0000011A264D27C0, file ""c:\Users\iTreek\Documents\Formation\Othello\Player_file.py"", line 20>, callcount=23660, reccallcount=0, totaltime=0.0780223, inlinetime=0.06521690000000001), _lsprof.profiler_subentry(code='<built-in method numpy.array>', callcount=7928, reccallcount=0, totaltime=0.0675729, inlinetime=0.0675729), _lsprof.profiler_subentry(code=<code object remove_pawn at 0x0000011A224EF710, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 21>, callcount=23660, reccallcount=0, totaltime=0.19679980000000002, inlinetime=0.09039670000000001)]"
22,"<code object verify_move at 0x0000011A264D63A0, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 8>",1043487,0,15.891174500000002,0.5992874,"[_lsprof.profiler_subentry(code=<code object Check_for_permut at 0x0000011A264D6450, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 15>, callcount=1043487, reccallcount=0, totaltime=15.204390900000002, inlinetime=14.897518900000001), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1043487, reccallcount=0, totaltime=0.08749620000000001, inlinetime=0.08749620000000001)]"
35,<built-in method numpy.core._multiarray_umath.implement_array_function>,27660,0,0.35464700000000005,0.26688290000000003,"[_lsprof.profiler_subentry(code=<code object prod at 0x0000011A2430E3A0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 2933>, callcount=3964, reccallcount=0, totaltime=0.08776410000000001, inlinetime=0.0136395)]"
13,"<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>",1067165,0,0.24259550000000002,0.24259550000000002,
15,"<code object Retournement_valeur at 0x0000011A24BA2C90, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 1>",1390004,0,0.2011207,0.2011207,
16,"<code object Convert_coord_to_string at 0x0000011A24BA2EA0, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 12>",23678,0,0.18151830000000002,0.18151830000000002,
