,Id_joueur,Strategy,Max_Score,History
0,1,Dumb,36,"[4, 5, 6, 7, 8, 9, 11, 12, 12, 12, 11, 13, 13, 14, 17, 19, 22, 20, 23, 24, 26, 32, 30, 25, 29, 31, 27, 29, 36, 36]"
1,2,Dumb,34,"[3, 4, 5, 7, 8, 8, 9, 10, 12, 15, 17, 18, 18, 19, 18, 18, 20, 21, 20, 21, 23, 20, 27, 30, 28, 31, 33, 32, 30, 34]"
2,1,Dumb,35,"[4, 5, 7, 8, 9, 12, 14, 14, 16, 16, 12, 15, 15, 18, 19, 19, 20, 24, 22, 20, 25, 27, 28, 26, 31, 31, 36, 32, 32, 35]"
3,2,Dumb,35,"[3, 4, 4, 5, 6, 5, 6, 7, 8, 14, 15, 15, 16, 15, 18, 18, 19, 21, 25, 25, 22, 22, 26, 27, 27, 26, 30, 36, 34, 35]"
4,1,Dumb,40,"[4, 5, 6, 5, 7, 8, 10, 10, 11, 10, 13, 13, 14, 14, 13, 15, 12, 13, 20, 24, 26, 35, 34, 35, 38, 32, 34, 34, 36, 40]"
5,2,Dumb,26,"[3, 4, 7, 8, 8, 9, 10, 11, 14, 15, 15, 16, 19, 21, 24, 26, 27, 28, 23, 21, 21, 16, 18, 18, 24, 26, 28, 27, 28, 26]"
6,1,Dumb,36,"[4, 5, 6, 8, 9, 10, 11, 13, 14, 14, 14, 16, 18, 20, 21, 21, 24, 24, 28, 29, 31, 29, 27, 25, 26, 31, 35, 35, 35, 36]"
7,2,Dumb,29,"[3, 4, 5, 5, 7, 7, 8, 9, 10, 14, 14, 13, 15, 14, 15, 16, 17, 18, 15, 16, 19, 25, 27, 28, 29, 28, 26, 28, 28, 29]"
8,1,Dumb,32,"[4, 5, 6, 8, 9, 8, 12, 12, 12, 13, 14, 14, 10, 13, 14, 16, 17, 15, 14, 18, 17, 15, 19, 23, 24, 28, 30, 30, 32, 32]"
9,2,Dumb,34,"[3, 4, 6, 5, 8, 9, 9, 10, 12, 12, 15, 22, 21, 20, 23, 22, 25, 28, 29, 30, 33, 34, 32, 33, 31, 31, 31, 32, 36, 34]"
10,1,Dumb,30,"[4, 6, 6, 8, 10, 11, 14, 14, 14, 15, 16, 16, 18, 17, 20, 20, 23, 26, 24, 28, 26, 25, 26, 31, 29, 35, 30, 33, 30, 30]"
11,2,Dumb,39,"[3, 4, 5, 5, 5, 6, 6, 8, 10, 10, 13, 13, 15, 17, 16, 17, 16, 18, 19, 20, 25, 24, 25, 27, 26, 29, 29, 32, 34, 39]"
12,1,Dumb,32,"[4, 5, 6, 8, 9, 10, 12, 10, 11, 11, 13, 14, 15, 15, 18, 20, 21, 20, 21, 24, 24, 26, 27, 26, 27, 24, 23, 29, 30, 32]"
13,2,Dumb,37,"[3, 4, 5, 5, 7, 7, 10, 11, 13, 15, 14, 16, 18, 18, 17, 17, 21, 21, 23, 23, 23, 23, 27, 27, 32, 35, 39, 32, 33, 37]"
14,1,Dumb,18,"[4, 5, 6, 8, 10, 9, 12, 14, 15, 15, 18, 17, 16, 16, 17, 18, 19, 21, 24, 23, 19, 18, 15, 15, 17, 16, 19, 20, 16, 18]"
15,2,Dumb,48,"[3, 4, 6, 5, 7, 9, 7, 7, 9, 10, 11, 14, 16, 17, 18, 20, 22, 20, 21, 27, 31, 38, 38, 38, 41, 41, 41, 47, 48]"
16,1,Dumb,40,"[4, 5, 6, 6, 7, 7, 9, 12, 14, 16, 16, 17, 20, 20, 22, 22, 22, 16, 18, 20, 21, 23, 25, 27, 31, 32, 34, 38, 38, 40]"
17,2,Dumb,31,"[3, 4, 6, 7, 9, 10, 10, 9, 10, 10, 13, 12, 12, 13, 15, 16, 24, 26, 25, 26, 26, 26, 26, 26, 25, 26, 25, 26, 25, 31]"
18,1,Dumb,33,"[4, 6, 7, 8, 8, 10, 11, 13, 15, 15, 16, 15, 20, 20, 21, 23, 23, 22, 24, 21, 21, 22, 22, 23, 23, 29, 37, 38, 35, 33]"
19,2,Dumb,33,"[3, 3, 4, 6, 8, 7, 8, 10, 9, 10, 13, 14, 15, 13, 15, 16, 18, 19, 23, 28, 27, 28, 29, 31, 33, 28, 23, 30, 32, 33]"
20,1,Dumb,35,"[4, 5, 7, 8, 8, 9, 10, 14, 14, 15, 19, 20, 21, 22, 25, 22, 22, 24, 25, 28, 31, 32, 29, 26, 29, 31, 30, 31, 35, 35]"
21,2,Dumb,29,"[3, 4, 4, 6, 7, 8, 9, 8, 9, 11, 8, 9, 11, 11, 15, 16, 17, 18, 19, 17, 17, 21, 26, 27, 26, 28, 29, 31, 29]"
22,1,Dumb,43,"[4, 5, 6, 7, 8, 9, 10, 11, 14, 14, 14, 16, 16, 18, 19, 15, 16, 16, 22, 25, 26, 28, 32, 35, 35, 33, 40, 40, 45, 43]"
23,2,Dumb,23,"[3, 4, 6, 6, 7, 8, 9, 10, 10, 12, 14, 14, 15, 16, 22, 22, 24, 26, 22, 20, 24, 22, 19, 19, 23, 24, 21, 21, 21, 23]"
24,1,Dumb,29,"[4, 5, 7, 8, 7, 8, 9, 10, 11, 11, 11, 11, 11, 11, 12, 14, 16, 18, 20, 20, 15, 19, 19, 23, 26, 28, 30, 28, 29]"
25,2,Dumb,39,"[3, 4, 4, 7, 9, 9, 10, 12, 14, 15, 17, 19, 21, 24, 25, 25, 23, 23, 24, 31, 37, 31, 36, 30, 29, 29, 34, 38, 39]"
26,1,Dumb,50,"[4, 5, 7, 8, 8, 11, 13, 14, 14, 16, 17, 20, 20, 20, 20, 22, 24, 25, 25, 27, 28, 28, 35, 39, 44, 42, 43, 46, 49, 50]"
27,2,Dumb,17,"[3, 4, 4, 6, 7, 7, 6, 8, 9, 9, 10, 10, 12, 14, 15, 16, 16, 17, 18, 20, 20, 21, 17, 14, 15, 15, 18, 15, 19, 17]"
28,1,Dumb,36,"[4, 5, 6, 7, 8, 7, 10, 13, 12, 12, 15, 17, 20, 22, 23, 22, 24, 26, 25, 24, 23, 24, 26, 28, 30, 39, 37, 34, 35, 36]"
29,2,Dumb,32,"[3, 4, 5, 6, 9, 10, 9, 10, 12, 14, 13, 12, 11, 11, 14, 15, 15, 17, 20, 23, 24, 25, 25, 25, 25, 22, 27, 29, 31, 32]"
30,1,Dumb,25,"[4, 5, 7, 8, 10, 11, 11, 11, 12, 12, 13, 15, 18, 19, 20, 22, 24, 25, 24, 23, 22, 25, 25, 25, 23, 25, 21, 22, 23, 25]"
31,2,Dumb,45,"[3, 4, 4, 5, 6, 7, 9, 10, 12, 13, 14, 14, 13, 14, 16, 16, 15, 18, 21, 26, 25, 25, 27, 31, 35, 37, 38, 44, 42, 45]"
32,1,Dumb,28,"[4, 5, 5, 7, 8, 9, 9, 9, 11, 13, 14, 15, 16, 17, 19, 23, 24, 24, 22, 25, 29, 29, 28, 26, 23, 26, 23, 25, 28]"
33,2,Dumb,37,"[3, 5, 6, 6, 7, 9, 11, 12, 12, 12, 13, 14, 16, 16, 17, 15, 16, 20, 21, 20, 20, 22, 26, 33, 32, 37, 36, 37]"
34,1,Dumb,39,"[4, 5, 6, 8, 9, 10, 10, 11, 12, 10, 8, 8, 12, 14, 16, 17, 16, 17, 18, 20, 21, 23, 29, 33, 33, 33, 34, 37, 38, 39]"
35,2,Dumb,39,"[3, 4, 5, 5, 6, 8, 9, 10, 14, 18, 20, 21, 19, 19, 19, 22, 23, 26, 27, 27, 26, 26, 22, 22, 23, 24, 27, 28, 26, 39]"
36,1,Dumb,43,"[4, 5, 6, 7, 8, 8, 10, 12, 11, 14, 16, 15, 19, 23, 23, 27, 28, 29, 25, 26, 28, 29, 29, 31, 29, 35, 36, 39, 36, 43]"
37,2,Dumb,27,"[3, 4, 6, 6, 9, 9, 9, 11, 12, 11, 13, 14, 12, 11, 12, 10, 11, 17, 18, 19, 19, 22, 23, 25, 27, 23, 23, 26, 28, 27]"
38,1,Dumb,33,"[4, 5, 6, 9, 10, 11, 10, 9, 11, 12, 13, 15, 15, 18, 21, 19, 20, 22, 22, 24, 25, 23, 28, 27, 28, 28, 34, 35, 30, 33]"
39,2,Dumb,36,"[3, 4, 5, 4, 5, 8, 11, 12, 12, 15, 14, 15, 16, 15, 17, 18, 20, 20, 23, 24, 25, 26, 26, 26, 30, 30, 26, 35, 36, 36]"
40,1,Dumb,43,"[4, 5, 6, 6, 7, 10, 11, 15, 16, 17, 18, 18, 20, 18, 18, 18, 20, 22, 24, 30, 30, 27, 27, 26, 29, 32, 41, 40, 38, 43]"
41,2,Dumb,28,"[3, 4, 6, 7, 9, 7, 8, 7, 10, 11, 10, 11, 14, 16, 19, 19, 21, 20, 20, 16, 21, 24, 27, 29, 27, 28, 22, 24, 25, 28]"
42,1,Dumb,39,"[4, 5, 6, 7, 9, 10, 13, 16, 16, 17, 16, 16, 18, 18, 22, 24, 24, 28, 27, 28, 32, 31, 29, 27, 27, 28, 31, 35, 39, 39]"
43,2,Dumb,29,"[3, 4, 5, 6, 6, 7, 8, 6, 7, 10, 13, 14, 15, 15, 14, 14, 16, 15, 16, 17, 17, 21, 27, 27, 31, 32, 30, 29, 27, 29]"
44,1,Dumb,24,"[4, 5, 6, 8, 9, 9, 10, 11, 11, 12, 10, 11, 13, 14, 16, 16, 15, 17, 24, 26, 28, 34, 32, 31, 25, 27, 27, 31, 28, 24]"
45,2,Dumb,40,"[3, 4, 5, 5, 8, 8, 10, 13, 12, 16, 17, 18, 18, 19, 20, 23, 25, 25, 19, 19, 19, 18, 21, 30, 30, 32, 32, 36, 40]"
46,1,Dumb,29,"[4, 5, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 22, 22, 23, 23, 23, 24, 25, 23, 27, 25, 26, 26, 26, 30, 29]"
47,2,Dumb,37,"[3, 5, 6, 7, 9, 9, 11, 11, 12, 13, 14, 15, 16, 16, 15, 16, 17, 21, 21, 24, 23, 27, 28, 29, 30, 34, 35, 35, 37]"
48,1,Dumb,32,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 14, 18, 21, 21, 20, 17, 16, 20, 20, 20, 19, 21, 22, 23, 27, 28, 32, 30, 33, 32]"
49,2,Dumb,35,"[3, 4, 5, 6, 7, 9, 9, 10, 12, 12, 13, 11, 11, 14, 19, 23, 23, 22, 24, 27, 30, 31, 29, 31, 32, 29, 35, 36, 33, 35]"
50,1,Dumb,38,"[4, 5, 6, 7, 8, 8, 10, 8, 9, 10, 12, 10, 11, 12, 18, 21, 19, 20, 24, 27, 27, 32, 32, 30, 32, 35, 34, 35, 38]"
51,2,Dumb,31,"[3, 4, 5, 6, 8, 9, 12, 13, 15, 15, 18, 20, 21, 22, 17, 19, 22, 21, 20, 21, 20, 18, 23, 27, 23, 24, 29, 28, 31]"
