,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
1,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
2,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
3,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
4,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
5,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
6,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
7,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
8,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
9,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
